Date,close,composite,position,daily_ret,portfolio,rf_signal,xgb_signal
2023-11-14,434.94842529296875,0.05021434010663789,0.0,0.0,100490.62490876875,0.07898536119326799,0.025553465
2023-11-15,435.8692321777344,-0.0036983819136300424,0.0,0.0,100490.62490876875,0.02072386762697459,-0.024631739
2023-11-16,436.40228271484375,-0.047779676414244764,0.0,0.0,100490.62490876875,-0.05129819483513204,-0.044763803
2023-11-17,436.9451904296875,-0.021975711947732242,0.0,0.0,100490.62490876875,-0.01887701411358017,-0.024631739
2023-11-20,440.30859375,-0.02302514620133286,0.0,0.0,100490.62490876875,-0.021150788329714842,-0.024631739
2023-11-21,439.34893798828125,-0.008770386842829742,0.0,-0.0,100490.62490876875,0.009734523613708579,-0.024631739
2023-11-22,441.0451965332031,0.0028389272612781443,0.0,0.0,100490.62490876875,0.0123714590700445,-0.0053318143
2023-11-24,441.31658935546875,0.015824644408101128,0.0,0.0,100490.62490876875,0.04050717955482763,-0.0053318143
2023-11-27,440.5218505859375,0.016830666474865776,0.0,-0.0,100490.62490876875,0.06619704216069144,-0.02548337
2023-11-28,440.9579772949219,0.041302323453131694,0.0,0.0,100490.62490876875,0.09570881748572718,-0.0053318143
2023-11-29,440.6478271484375,0.0007359752455422357,0.0,-0.0,100490.62490876875,0.007815063035950032,-0.0053318143
2023-11-30,442.3828125,-0.02419542433351065,0.0,0.0,100490.62490876875,-0.022692821257457474,-0.02548337
2023-12-01,444.99993896484375,-0.03649502796845593,0.0,0.0,100490.62490876875,-0.032330210735268816,-0.04006487
2023-12-04,442.6639709472656,-0.03113280038222584,0.0,-0.0,100490.62490876875,-0.031487567395640514,-0.030828714
2023-12-05,442.5766906738281,-0.06543348074027976,0.0,-0.0,100490.62490876875,-0.06996550480673386,-0.06154889
2023-12-06,440.7932434082031,0.011978716516148374,0.0,-0.0,100490.62490876875,0.004945811501388286,0.01800692
2023-12-07,444.15667724609375,0.03400763487846642,0.0,0.0,100490.62490876875,0.10670910942621176,-0.028307915
2023-12-08,446.06610107421875,0.02741476919970038,0.0,0.0,100490.62490876875,0.04298779922620222,0.014066458
2023-12-11,447.80108642578125,0.025313481465053543,0.0,0.0,100490.62490876875,0.0384350091344674,0.014066458
2023-12-12,449.84637451171875,0.0260830992764877,0.0,0.0,100490.62490876875,0.05352766589963448,0.002559185
2023-12-13,456.0497741699219,0.044010713250781784,0.0,0.0,100490.62490876875,0.05642332785121168,0.03337133
2023-12-14,457.513427734375,0.00954912333565004,0.0,0.0,100490.62490876875,0.017704051361152884,0.002559185
2023-12-15,456.7601623535156,-0.00040505009120422414,0.0,-0.0,100490.62490876875,-0.006500233881894635,0.004819393
2023-12-18,459.3294677734375,0.013295369698591217,0.0,0.0,100490.62490876875,0.023184008995995486,0.004819393
2023-12-19,462.12255859375,0.007250735604217569,0.0,0.0,100490.62490876875,0.024167508344660527,-0.0072493553
2023-12-20,455.71881103515625,0.023267820748494518,0.0,-0.0,100490.62490876875,0.02020236163445377,0.025895357
2023-12-21,460.0398864746094,-0.02672041089979509,0.0,0.0,100490.62490876875,-0.030675782447755484,-0.023330092
2023-12-22,460.9644470214844,-0.016839607583936836,0.0,0.0,100490.62490876875,-0.014069512876692447,-0.019213974
2023-12-26,462.9108581542969,-0.02142727183426317,0.0,0.0,100490.62490876875,-0.021543538392622685,-0.021327615
2023-12-27,463.74786376953125,0.06442215388041786,0.0,0.0,100490.62490876875,0.09000242830198119,0.042496204
2023-12-28,463.9230041503906,-0.01846139470286496,0.0,0.0,100490.62490876875,-0.01511747127459323,-0.021327615
2023-12-29,462.5799560546875,-0.014066890063401297,0.0,-0.0,100490.62490876875,-0.0387693672333676,0.007106662
2024-01-02,459.9912109375,-0.04246007258322484,0.0,-0.0,100490.62490876875,-0.06433131812371545,-0.02371329
2024-01-03,456.234619140625,-0.043497176106760634,0.0,-0.0,100490.62490876875,-0.045543250899822585,-0.041743398
2024-01-04,454.76507568359375,0.014163215171186098,0.0,-0.0,100490.62490876875,-0.03173630274972261,0.05350566
2024-01-05,455.38787841796875,0.023890063269255496,0.0,0.0,100490.62490876875,0.032859084729210064,0.01620233
2024-01-08,461.8890380859375,0.05096876187352855,0.0,0.0,100490.62490876875,0.04800904843868603,0.05350566
2024-01-09,461.18829345703125,-0.01154671058953354,0.0,-0.0,100490.62490876875,0.019380256042369315,-0.03805554
2024-01-10,463.7964782714844,-0.016375953129702785,0.0,0.0,100490.62490876875,0.03398652139089808,-0.05954379
2024-01-11,463.59210205078125,0.020436347487805293,0.0,-0.0,100490.62490876875,0.08867688187660344,-0.03805554
2024-01-12,463.91326904296875,-0.010908973396992108,0.0,0.0,100490.62490876875,-0.012393987568762643,-0.009636104
2024-01-16,462.21014404296875,0.05409307589781955,0.0,-0.0,100490.62490876875,0.08987794160592022,0.023420334
2024-01-17,459.6408996582031,9.794606535900757e-05,0.0,-0.0,100490.62490876875,-0.009366190335815983,0.008210063
2024-01-18,463.7283630371094,0.039738309703509285,0.0,0.0,100490.62490876875,0.0585290856144699,0.02363193
